No.;JOURNAL 2017;Impact_Factor_2017;ARTICLES (included and excluded);Article included or excluded ?;Conclusion;"Biological repetition  (Triplicated refers to > or = three times); or meta-analysis.";More_or_not;Considered as having more than three replicated results  ?;Exclusion criterion note. (gmos = genetically modified organisms created in this study and likely not bulked);Global or pooled p value, limit or result, found (sometimes indicated by global means with pooled results);Post-hoc or individual repeat p value, limit or result, found;Chosen relevant aim/result with categorically distinct groups;Note on study design;Categorically distinct groups;Chosen relevant quantitative parameter;Relevant statistical method(s).;One relevant p value, limit or result.;Factor replicated;Was evidence found for method replication ?;Was evidence found for replication of results ?;Results shown for each of the two, three (or more) experimental replicates ?;p-value or limit found in Abstract;p-value or limit found in Figures or Tables;p-value or limit found in text;p-value or limit found in supplementary file;Further notes.;Further notes 2.;"Risk: Evaluation is for main result. Low = p value or limit clearly for a main result; Medium = unclear if p value or limit  is for main result. Note this is for interest only - and non-main results were not excluded.";Risk: Repetition. Risk that number of replicates recorded is incorrect: Low = number of repeats clear including non-repeated. Medium = doubts arise as to how many times the investigation has been repeated or not. High = unclear how many times the investigation has been repeated or not. ;Risk: Repetition of p value (or p-value limit). Low = clear that p value has been repeated or not repeated. Medium = doubts arise as to whether the p value has been repeated or where the other p-values are (or whether it was obtained from all repeated results combined i.e. a Global p-value(s)). High = unclear whether the p value has been repeated or not. ;Details concerning relevant groups;Evidence for manipulation or random placement of groups during study;Indication of Association study;Notes;ASSOC_EXP;"Risk: reflecting doubts concerning identification of association or experimental: L = low; M = medium, H = high"
44;Journal of Integrative Plant Biology;3.092;"Santiago JP, Tegeder M. Implications of nitrogen phloem loading for carbon metabolism and transport during Arabidopsis development. Journal of Integrative Plant Biology. 2017;59: 409–421.";Included;Double result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Individual difference given ;"Fig 6: ""Analyses of sucrose levels in leaf/phloem exudates, sucrose source-to-sink transport and sink C content""";Theoretically one experiment might have counted as triplication if the wild-type result had been triplicated;aap8 (AMINO ACID PERMEASE 8) mutant line versus wild-type;Leaf exudate sucrose at six weeks;"""one-way analysis of variance (ANOVA), and mean separation tests""";p < 0.05;experiment;"Yes: Methods: ""All results are representative of at least two independently grown sets of plants."" ";"Yes: Methods: ""All results are representative of at least two independently grown sets of plants."" ";No; - ;"Fig 6: ""Asterisks depict signicant differences from WT (P < 0.05)."""; - ; - ;"Methods: ""All results are representative of at least two independently grown sets of plants. The data are presented as mean of standard deviation (±SD) of at least four biological repetitions"""; - ;L;L;L;aap8 (AMINO ACID PERMEASE 8) mutant line versus wild-type;"Methods: ""Plants used for phenotypic, biochemical, and molecular analyses were grown in 36-well Com-Packs (T.O. Plastics), while plants for photosynthetic analysis and transport studies were cultured in 7.6 cm2 pots.""";n.a.; - ;Experimental;L
45;PHYTOCHEMISTRY;3.186;"Feistel F, Paetz C, Lorenz S, Beran F, Kunert G, Schneider B. Idesia polycarpa (Salicaceae) leaf constituents and their toxic effect on Cerura vinula and Lymantria dispar (Lepidoptera) larvae. Phytochemistry. 2017;143: 170–179. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 10;no;n.a.;Yes: from pooled value(s);Not found;Feeding experiments with C. vinula and L. dispar on I. polycarpa and P. nigra;Although proportional hazards models were used - it is the ancova comparison which is analyzed here.;plant species;survival coefficient;"Comparison of Cox proportional hazard models using ""An analysis of covariance (ancova)""";p < 0.001;experiment;"Methods: ""Thus, ten feeding experiments per plant species were conducted in parallel. """;No;No; - ; - ;"Results:""Both Lepidopteran species survived significantly better on P. nigra than on I. polycarpa (z = −3.592, p < 0.001)."""; - ; - ; - ;M;L;L;plant species;Feeding experiments with C. vinula and L. dispar on I. polycarpa and P. nigra;n.a.; - ;Experimental;L
46;PLANTA;3.249;"Hochberg U, Bonel AG, David-Schwartz R, Degu A, Fait A, Cochard H, et al. Grapevine acclimation to water deficit: the adjustment of stomatal and hydraulic conductance differs from petiole embolism vulnerability. Planta. 2017;245: 1091–1104. ";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Table 3: ""The petiole xylem architecture of well-watered (WW), transient deficit (TD), or sustained deficit (SD) vines after the acclimation period"""; - ;well-watered (WW), transient deficit (TD), or sustained deficit (SD) vines;Petiole area ;"""Tukey Honest Significant Differences""";P < 0.05;Not replicated;No;No;No; - ;"Table 3: ""Different letters within a column indicate significant differences between treatments (P \ 0.05) by Tukey Honest Significant Difference (HSD) test"""; - ; - ; - ; - ;L;L;L;well-watered (WW), transient deficit (TD), or sustained deficit (SD) vines;well-watered (WW), transient deficit (TD), or sustained deficit (SD) vines;n.a.; - ;Experimental;L
47;PLANT AND SOIL;3.306;"Xu S, Jiang Y, Cui W, Jin Q, Zhang Y, Bu D, et al. Hydrogen enhances adaptation of rice seedlings to cold stress via the reestablishment of redox homeostasis mediated by miRNA expression. Plant and Soil. 2017;414: 53–67. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 8: ""H2 modulates the relative expression level of miR398 target .. CSD1""";"Although ""All experiments were repeated at least three times with similar results."" - it is not known whether any significant results were obtained within one experiment - thereby giving Global designation";three treatment times (treated as categorical);relative expression CSD1;"""Duncan’s multiple comparison""";p < 0.05;experiment;"Yes: Methods: ""All experiments were repeated at least three times with similar results.""";No;No; - ; - ;"""Data are the means ± SE from three independent experiments at least three replicates for each. Bars denoted by different letters were significantly different at P < 0.05 according to Duncan’s multiple comparison"""; - ; - ; - ;L;L;L;three treatment times (treated as categorical);three treatment times (treated as categorical);n.a.; - ;Experimental;L
48;TREE PHYSIOLOGY;3.389;"Shimada T, Endo T, Rodríguez A et al. Ectopic accumulation of linalool confers resistance to Xanthomonas citri subsp. citri in transgenic sweet orange plants. Tree Physiology. 2017;37:654-664.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 6: ""Quantifcation of linalool, SA and JA contents in leaves of six representative citrus varieties with different Xcc susceptibilities"""; - ;citrus varieties;linalool content;presumably t-tests;P < 0.05 ;extraction batch;"""This compound was quantifed in triplicate, and the data are provided as the mean ± SD (n = 3).""";no;no; - ;"Fig 6: ""P < 0.05"""; - ; - ; - ; - ;L;L;L;citrus varieties;"Methods: ""Epicotyl segments of Hamlin sweet orange (C. sinensis L. Osbeck) were inoculated with Agrobacterium tumefaciens strain LBA4404 according to the protocol of Boscariol et al. (2003).""";n.a.; - ;Experimental;L
49;FUNGAL GENETICS AND BIOLOGY;3.476;"Soukup A, Fischer GJ, Luo J, Keller N. The Aspergillus nidulans Pbp1 homolog is required for normal sexual development and secondary metabolism. Fungal genetics and biology : FG & B. 2017;100:13-21.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 3: ""Effect of various mutants on P-body and stress granule assembly."" ""G. Comparison of number of stress granules in strains with and without stress."""; - fungal gmos;strain +_ stress;stress granules per 10 micrometer;not found;Fig 3: *** p < 0.001;replicate;"Fig 3: ""Error bars represent standard error""";no;no; - ;Fig 3: *** p < 0.001; - ; - ;"Methods: ""3 replicates
were performed for each strain and condition."""; - ;L;L;L;strain +_ stress;"Methods: ""All strains (Table S1) were propagated at 37°C on glucose minimum medium (GMM) with appropriate supplements.""";n.a.; - ;Experimental;L
50;PLANT MOLECULAR BIOLOGY;3.543;"Arbona V, Zandalinas SI, Manzi M, González-Guzmán M, Rodriguez PL, Gómez-Cadenas A. Depletion of abscisic acid levels in roots of flooded Carrizo citrange (Poncirus trifoliata L. Raf. × Citrus sinensis L. Osb.) plants is a stress-specific response associated to the differential expression of PYR/PYL/RCAR receptors. Plant Molecular Biology. 2017;93: 623–640. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 5: ""Relative expression of genes encoding for ABA receptors in roots of Carrizo citrange subjected to soil flooding (a) or drought (b)""";"Methods: ""Three independent microarray hybridization experiments were carried out with cDNA isolated from control and flooded roots of Carrizo citrange. """;control, flooding, recovery;relative gene expression;"""ANOVA and LSD posthoc test""";p < 0.05;experiment;"Yes: Methods: ""Three independent microarray hybridization experiments were carried out with cDNA isolated from control and flooded roots of Carrizo citrange. """;No;No; - ;"Fig 1. ""Asterisks denote statistical significance at p ≤ 0.05"""; - ; - ;Fig. 5 Relative expression of genes encoding for ABA receptors in roots of Carrizo citrange subjected to soil flooding (a) or drought (b). On white bars, different letters denote statistical significance at p ≤ 0.05 following ANOVA and LSD posthoc test; - ;L;L;L;control, flooding, recovery;"Methods: ""Flooding conditions were imposed by submerging the
entire root system in tap water """;n.a.; - ;Experimental;L
51;MOLECULAR PLANT-MICROBE INTERACTIONS;3.588;"Thapa SP, Pattathil S, Hahn MG, Jacques M-A, Gilbertson RL, Coaker G. Genomic Analysis of Clavibacter michiganensis Reveals Insight Into Virulence Strategies and Genetic Diversity of a Gram-Positive Bacterial Pathogen. Molecular Plant-Microbe Interactions. 2017;30: 786–802. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 8: ""Deletion of the PelA1 pectate lyase but not PelA2 decreases bacterial virulence."" ";these are in strains, not gmos;strains CASJ002pelA1 and CASJ002pelA2;relative expression of pectate lyases;"""Tukey's honest significant difference""";p < 0.001;experiment;"Yes: Methods: ""All reactions were performed in triplicate and were repeated three times.""";No;No; - ;"Fig 8. ""D, Significant differences were detected by a two-tailed t test, P < 0.001."""; - ; - ; - ; - ;L;L;H;strains CASJ002pelA1 and CASJ002pelA2;"Methods: ""C. michiganensis subsp. michiganensis strains were grown in tryptone broth with yeast (TBY), D2, C medium, sorbitol broth (SB) medium at 28°C """;n.a.; - ;Experimental;L
52;ANNALS OF BOTANY;3.646;"Sandner TM, Matthies D. Interactions of inbreeding and stress by poor host quality in a root hemiparasite. Annals of Botany. 2017;119: 143–150. ";Included;Global (duplicated-methods) protocol;Duplicated;no;no;n.a.;Global differences given;Not found;"TABLE 3: ""ANOVA of the effects of pollination type (selfed vs. open) and host species mixture on the biomass of R. alectorolophus""";"""Experiment 2. The effects of population, pollination treatment and host mixture on parasite performance were studied by ANOVAs. However, the population of origin had no effect on any of the studied variables, and population was removed from the analysis.""";15 four-species mixtures;biomass;"""analysis of variance (ANOVA)""";p < 0.001;population;"Yes: Methods: ""two populations near Großalmerode, Germany""";No;No; - ;"Table 3: ""ANOVA of the effects of pollination type (selfed vs. open) and host species mixture"" ""***
P < 0·001; *P < 0·05"""; - ; - ; - ;"""Selfed and open-pollinated parasites from two natural populations were grown (1) with 13 potential host species and (2) with 15 four-species mixtures""";L;M;M;15 four-species mixtures;15 four-species mixtures;n.a.; - ;Experimental;L
53;ENVIRONMENTAL AND EXPERIMENTAL BOTANY;3.666;"Gao G, Clare AS, Rose C, Caldwell GS. Intrinsic and extrinsic control of reproduction in the green tide-forming alga, Ulva rigida. Environmental and Experimental Botany. 2017;139: 14–22. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Global differences given ;Not found;"Fig 3: ""Effects of two-step temperature shock on the reproduction rate of Ulva rigida.""";p value not given as other columns have zeros.;zero, two hour, 1, 2 and 3 weeks treated as categorical;reproduction rate;"""A three-way MANOVA"" ""Tukey’s honest significant difference (Tukey HSD) tests were conducted for post hoc investigation.""";p value not given as other columns have zeros.;flask;"Yes: Methods: ""Triplicates were used in all experiments.""";no;no; - ;Fig 3. p value not given as other columns have zeros.; - ; - ; - ; - ;L;L;L;zero, two hour, 1, 2 and 3 weeks treated as categorical;"Fig 3: ""Effects of two-step temperature shock on the reproduction rate of Ulva rigida.""";n.a.; - ;Experimental;L
54;Frontiers in Plant Science;3.677;"Lally RD, Galbally P, Moreira AS, Spink J, Ryan D, Germaine KJ, i in. Application of Endophytic Pseudomonas fluorescens and a Bacterial Consortium to Brassica napus Can Increase Plant Height and Biomass under Greenhouse and Field Conditions. Front Plant Sci. 2017;8:2193. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 6;no;n.a.;Yes: from pooled value(s);n.a.;"Table 2. ""Average plant biomass"" per treatment";"""There were six replicates per treatment in the field investigation. Each block contained one replicate. These treatments were replicated throughout each block using randomized allocation for each treatment.""";Treatments;"""Average plant biomass""";ANOVA and Tukey's HSD test.;P < 0.01;Block;Yes - 6 blocks;Result replication not found;no; - ;Table 2. p < 0.01; - ; - ; - ; - ;L;L;L;Treatments;Treatments;n.a.; - ;Experimental;L
55;PLANT SCIENCE;3.712;"Nakamura Y, Ono M, Sawada T, Crofts N, Fujita N, Steup M. Characterization of the functional interactions of plastidial starch phosphorylase and starch branching enzymes from rice endosperm during reserve starch biosynthesis. Plant Science. 2017;264: 83–95. ";Included;Global (replication-error) protocol (s.d.);Triplicated. No p-values found. Replication errors (s.d.) found;no;no;no;"No p-values, but Fig 7 ""Bars show the SD for at least three replicate measurements.""";Not found;Fig 7B: Effects of various amounts of BEIIb on the “unprimed” glucan synthesis by Pho1.; - ;four BEIIb concentrations (treated as categorical);Glucan concentrations;not found;not found;measurement;"Yes: Fig 7: ""Bars show the SD for at least three replicate measurements.""";no;no;n.a.;n.a.;"No p-values, but Fig 7 ""Bars show the SD for at least three replicate measurements.""";n.a.; - ; - ;n.a.;L;n.a.;four BEIIb concentrations (treated as categorical);four BEIIb concentrations (treated as categorical);n.a.; - ;Experimental;L
56;PLANT SCIENCE;3.712;"Liu S, Liu Y, Jia Y, Wei J, Wang S, Liu X, et al. Gm1-MMP is involved in growth and development of leaf and seed, and enhances tolerance to high temperature and humidity stress in transgenic Arabidopsis. Plant Science. 2017;259: 48–61. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 4: ""D, Enzymatic activity of GUS in N. benthamiana transiently expressing leaves. Each column represents the fold change
caused by the HTH stress for 3 h compared to that at 0 h. Experiments were in triplicate. Error bars, ±SD (n = 3)."""; - ;Different constructs;Fold change in enzymatic activity of GUS;presumably ANOVA;"p < 0.01 (from Fig 3: Double asterisks indicate statistically significant differences between the treatment and control at P values less than 0.01.""";experiment;"Fig 4: ""D, Experiments were in triplicate.""";No;No; - ;Fig 4: double asterisks ; - ; -  ; - ; - ;L;L;L;Different constructs;Different constructs;n.a.; - ;Experimental;L
57;THEORETICAL AND APPLIED GENETICS;3.930;"Brzostowski LF, Pruski TI, Specht JE, Diers BW. Impact of seed protein alleles from three soybean sources on seed composition and agronomic traits. Theoretical and Applied Genetics. 2017;130: 2315–2326. ";Included;Triple result (repetition) protocol;Triplicated;Yes - 4;Yes - 4;n.a.;n.a.;Individual differences given ;Table 1 The impact on seed yield, protein, and oil (130 g kg−1 moisture basis) when the protein-increasing allele of the chr 20 QTL from Danbaekkong (CHR20-D) was introgressed into the LD02-5025 and Dwight backgrounds ;Four environments (location x year) were tested;donor allele and recurrent allele;seed yield;analysis of variance;p < 0.0001;environment;Yes: Table 1: four environments;Yes: Table 1: four environments;Yes: Table 1: four environments; - ;Table 1: p < 0.0001; - ; - ; - ; - ;L;L;L;donor allele and recurrent allele;Table 1 The impact on seed yield, protein, and oil (130 g kg−1 moisture basis) when the protein-increasing allele of the chr 20 QTL from Danbaekkong (CHR20-D) was introgressed into the LD02-5025 and Dwight backgrounds ;n.a.; - ;Experimental;L
58;THEORETICAL AND APPLIED GENETICS;3.930;"Branham SE, Stansell Z, Couillard DM, Farnham M. Quantitative trait loci mapping of heat tolerance in broccoli (Brassica oleracea var. italica) using genotyping-by-sequencing. Theoretical and Applied Genetics. 2016;130:529 - 538.";;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Abstract: ""one epistatic interaction were associated with heat tolerance in a doubled haploid population of broccoli evaluated in three summer field trials.""";"Results: ""there was a significant positive epistatic interaction between QHT_C03 and QHT_C05, explaining 3.2% of the variation in heat tolerance (Fig. 5)."" Fig 5: ""Fig. 5 Interaction plot showing evidence for positive epistasis""";Genotype;Heat tolerance score;"""likelihood ratio tests """;"Not given: Results: ""significant positive epistatic interaction""";"Abstract: ""evaluated in three summer field trials.""";"Abstract: ""evaluated in three summer field trials.""";no;no; - ; - ;"Not given: Results: ""significant positive epistatic interaction"""; - ; - ; - ;L;L;L;Genotype;"Abstract: ""one epistatic interaction were associated with heat tolerance in a doubled haploid population of broccoli evaluated in three summer field trials.""";n.a.; - ;Experimental;L
59;BMC PLANT BIOLOGY;3.930;"Kochetov AV, Glagoleva AY, Strygina KV, Khlestkina EK, Gerasimova SV, Ibragimova SM, et al. Differential expression of NBS-LRR-encoding genes in the root transcriptomes of two Solanum phureja genotypes with contrasting resistance to Globodera rostochiensis. BMC Plant Biology. 2017;17: 251. ";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Additional file 3: ""The log2(FC) values and experimental fold changes for DEGs verified with qRT-PCR as well as the primer sequences constructed and used in qRT-PCR. (XLSX 13 kb)'"; - ;gene;expression fold difference;"""Analysis of differential expression of S. phureja genes was performed using Cuffdiff utility of Cufflinks pipeline. Transcripts with total RPKM values lesser than 12 were discarded. Transcript was considered differentially expressed in two libraries if it had two-fold or higher difference in abundance (|logFC| > 1, significance level q < 0.05)""";significant difference  ;Not replicated;No;No;No; - ; - ;"""For up-regulated genes, the most enriched GO terms included ‘response to oxidative stress’ (p = 5.72·10−16) and ‘peroxidase activity’ (p = 3.05·10−16) """; - ;"""Three technical replicates of each reaction were run."" Not biological repeats"; - ;L;L;L;gene;"Methods: ""To stimulate root formation, potato tubers were placed on sterile watered sand in trays within 2 weeks, and each tuber was further transferred to 10-cm-diameter plastic pots """;n.a.; - ;Experimental;L
60;BMC PLANT BIOLOGY (from second page of 2017);3.930;"Marmiroli M, Mussi F, Imperiale D, Marmiroli N. Target proteins reprogrammed by As and As + Si treatments in Solanum lycopersicum L. fruit. BMC Plant Biology. 2017;17: 210. ";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Table S3: ""Three-ways ANOVA for As and Si concentrations in fruits of tomato cultivars Aragon and Gladis."""; - ;Cultivar;As concentration;"""three-ways analysis of variance (ANOVA), followed by one-way ANOVAs were applied to As and Si concentrations in fruits, with Confidence Interval (C.I.) of = 95%, and statistical differences between means were deduced using Tukey’s SHD post hoc test, applying a threshold of 0.005. SPSS v23 software (http:// www.ibm.com/analytics/ us/en/technology/spss/) was used for all analyses.""";***: p≤0.001;Not replicated;No;No;No; - ; - ; - ;Table S3: ***: p≤0.001; - ; - ;L;L;L;Cultivar;"Title: ""Target proteins reprogrammed by As and As + Si treatments in Solanum lycopersicum L. fruit. """;n.a.; - ;Experimental;L
61;PLANT AND CELL PHYSIOLOGY;4.059;"Yin Q, Shen G, Di S, Fan C, Chang Z, Pang Y. Genome-Wide Identification and Functional Characterization of UDP-Glucosyltransferase Genes Involved in Flavonoid Biosynthesis in Glycine max. Plant and Cell Physiology. 2017;58: 1558–1572. ";Included;Global (replication-error) protocol (s.d.);Triplicated. No p-values found. Replication errors (s.d.) found;no;no;n.a.;Not found;Not found;"Fig 7: ""Flavonol glucoside contents in transgenic G. max hairy root lines overexpressing GmUGT genes."""; - ;G. max hairy root lines;Flavanol glucoside content;Not found;Fig 7 has double asterisks;"Fig 7: ""Values represent the means and SDs from triplicate samples.""";"Yes: Fig 7: ""Values represent the means and SDs from triplicate samples.""";No;No;n.a.;Fig 7 has double asterisks;n.a.;n.a.; - ; - ;n.a.;L;n.a.;G. max hairy root lines;"Fig 7: ""Flavonol glucoside contents in transgenic G. max hairy root lines overexpressing GmUGT genes.""";n.a.; - ;Experimental;L
62;PLANT AND CELL PHYSIOLOGY;4.059;"Eggenberger K, Sanyal P, Hundt S, Wadhwani P, Ulrich AS, Nick P. Challenge Integrity : The Cell-Penetrating Peptide BP100 Interferes with the Auxin-Actin Oscillator. Plant &amp; Cell Physiology. 2016;58. ";Included;Global (replication-error) protocol (s.d.);Triplicated;no;no;n.a.;no - but clear difference seen in Fig 2. ;Not found;"Fig 2: ""Apical dominance of BP100 uptake."" (C) Quantification of apical dominance ... for controls or following pre-treatment"" "; - ;control, auxin and other chemicals;"""Quantification of apical dominance""";not found;not found;possibly experimental series;"From Fig 4. ""Data represent mean values and SEs of three independent experimental series. Brackets indicate significant differences, with *P < 0.05 and **P < 0.01.""";No;No; - ; - ; - ; - ;no relevant p-values found; - ;L;L;L;control, auxin and other chemicals;control, auxin and other chemicals;n.a.; - ;Experimental;L
63;MOLECULAR PLANT PATHOLOGY;4.188;"Zutter ND, Audenaert K, Ameye M, Boevre MD, Saeger SD, Haesaert G, et al. The plant response induced in wheat ears by a combined attack of Sitobion avenae aphids and Fusarium graminearum boosts fungal infection and deoxynivalenol production. Molecular Plant Pathology. 2017;18: 98–109. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;one Individual difference given ;"Table 1: ""Concentrations of deoxynivalenol (DON) and its acetylated forms [3-acetyl DON (3-ADON) and 15-acetyl DON (15-ADON)] ... found in Fusarium graminearum (Fg)-infected ears with aphids … and without aphids"""; - ;"""Fusarium graminearum (Fg)-infected ears with aphids
(Fg 1 aphids) and without aphids (Fg) """;Concentration of DON;"""For the expression data, t-tests (3 dbi, 2 dbi and 0 dai, comparing two treatments) and oneway analyses of variance (ANOVAs) [post hoc least-significant difference (LSD)] (1, 2 and 6 dai, comparing four treatments with each other) were used for statistical analysis of the fold increase over the control.""";p = 0.031;experiment;"Yes: Methods: ""The experiment was repeated twice and this article reports the results of one representative experiment.""";"Yes: Methods: ""The experiment was repeated twice and this article reports the results of one representative experiment.""";No; - ;Table 1: p = 0.031; - ; - ; - ; - ;L;L;L;"""Fusarium graminearum (Fg)-infected ears with aphids
(Fg 1 aphids) and without aphids (Fg) """;"Methods: ""Spring wheat cv. Passat was sown in universal potting soil (three seeds per pot). """;n.a.; - ;Experimental;L
64;MOLECULAR PLANT PATHOLOGY;4.188;"Wang J, Yin Z, Tang W et al. The thioredoxin MoTrx2 protein mediates reactive oxygen species (ROS) balance and controls pathogenicity as a target of the transcription factor MoAP1 in Magnaporthe oryzae. Molecular plant pathology. 2016;18 9:1199-1209.";Included;Triple result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Individual difference given ;"Fig 8: ""Disulfide bond formation in MoTrx2 is important for growth, conidiation and pathogenesis."" ""(C, D) Conidial
formation was observed under a light microscope after illumination for 24 h. """;these fungi gmos are sufficiently bulked to allow triplication;strains;Conidiation;"Fig 8: ""The conidia were collected, counted and analysed by Duncan analysis (P < 0.01).""";p < 0.01;"Fig 8: ""Asterisks indicate significant differences and the results were repeated three times.""";"Fig 8: ""Asterisks indicate significant differences and the results were repeated three times.""";"Fig 8: ""Asterisks indicate significant differences and the results were repeated three times.""";no; - ;"Fig 8: ""The conidia were collected, counted and analysed by Duncan analysis (P < 0.01)."""; - ; - ; - ; - ;L;L;L;strains;"Methods: ""Conidia were harvested from 10-day-old SDC cultures,""";n.a.; - ;Experimental;L
65;JOURNAL OF EXPERIMENTAL BOTANY;5.354;"Ouyang W, Struik PC, Yin X, Yang J. Stomatal conductance, mesophyll conductance, and transpiration efficiency in relation to leaf anatomy in rice and wheat genotypes under drought. Journal of Experimental Botany. 2017;68: 5191–5205.";Included;Double result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Yes: individual means given;"Table 3: ""Leaf anatomical properties of O. sativa, O. glaberrima, and T. aestivum under the control (CT) condition"""; - ;Genotype group;Mesophyll thicknesses (Tm);"""one-way analysis of variance""";p<0.001 is for anova among O. sativa lowland, aerobic and upland duplicated cultivars;O. sativa cultivar;Table 3: two cultivars each for lowland, aerobic and upland O. sativa;Yes;Yes - but post-hoc p-values not shown; - ;"Table 3: "" The significance level of overall data/within O. sativa is shown by asterisks: *P<0.05, **P<0.01, ***P<0.001."""; - ; - ;" ""Six cultivars from O. sativa, one cultivar from O. glaberrima, and two cultivars from T. aestivum were used for the study of photosynthetic and leaf anatomical properties.""  ";Table 3: Duplicate cultivars were used for O. sativa and wheat - but no post-hoc differences shown.;L;L;L;Genotype group;"Methods: ""Pot experiments were conducted at Yangzhou University, Jiangsu Province, China""";n.a.; - ;Experimental;L
66;JOURNAL OF EXPERIMENTAL BOTANY;5.354;"Zhang Y, Keller M. Discharge of surplus phloem water may be required for normal grape ripening. Journal of Experimental Botany. 2017;68: 585–595. ";Included;Triple result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Individual difference given ;"Fig 8: ""Effects of restricted xylem flow or berry transpiration on ripening of Merlot, Syrah, and Concord grapes."""; - ;control clusters, clusters with restricted xylem flow (-X), restricted transpiration (-T), and the combination of both treatments (-XT).;solute accumulation rate;"""one-way ANOVA""";p < 0.05;grape genotype;Yes: Fig 8: three genotypes used;Yes: Fig 8: three genotypes used;Yes: Fig 8: three genotypes used; - ;"Fig 8. ""Values are means±SE.  Different letters indicate significant differences between means within genotypes at either early or late ripening (n=10, P<0.05)."" "; - ; - ; - ; - ;L;L;L;control clusters, clusters with restricted xylem flow (-X), restricted transpiration (-T), and the combination of both treatments (-XT).;"Methods: ""Own-rooted grapevines Vitis vinifera L., cvs. Merlot and Syrah (planted in 1999), and Vitis labruscana Bailey, cv. Concord (planted in 2003), were used for field experiments and sample collection from 2009 to 2011.""";n.a.; - ;Experimental;L
67;PLANT CELL AND ENVIRONMENT;5.415;"Wu L-B, Ueda Y, Lai S-K, Frei M. Shoot tolerance mechanisms to iron toxicity in rice (Oryza sativa L.). Plant, Cell & Environment. 2017;40: 570–584. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 10;no;n.a.;Yes: from pooled value(s);Not found;"Fig 5: ""Fe concentrations in different tissues of contrasting rice genotypes IR29 and FL483 exposed to Fe toxicity."" "; - ;control or Fe;Fe concentration in different tissues;"""analysis of variance .... Post-hoc multiple comparisons for observed means were conducted using the LSD-test if appropriate.""";p < 0.001;container;"Methods: ""Plants were pre-grown for five weeks, and then 10 plants of each genotype were exposed to 1000 mg Fe2+ L-1 (as FeSO4 · 7H2O) in three replicated containers""";No;No; - ;"Fig. 5.  ""Bars represent mean values ± standard error (N = 6). SS, leaf sheath and stem; T, treatment; G, genotype; Ti, tissue; *, P < 0.05; ***, P < 0.001; n.s, not significant."""; - ; - ; - ; - ;L;L;L;control or Fe;control or Fe;n.a.; - ;Experimental;L
68;PLANT CELL AND ENVIRONMENT;5.415;"Liu HT, Yang F, Gong XY, Schäufele R, Schnyder H. An oxygen isotope chronometer for cellulose deposition: the successive leaves formed by tillers of a C4 perennial grass. Plant, Cell & Environment. 2017;40: 2121–2132. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 4: ""Carbon isotope discrimination of leaf blade cellulose"""; - ;low vapour pressure deficit (VPD), high VPD;"""oxygen isotope enrichment of leaf water""";one-way ANOVA or t-test;p < 0.05;;"Methods: ""Same-age leaves from 15 to 20 tillers were combined in one sample, and three separate samples of each age category collected in every treatment in every chamber""";No;No; - ; Fig. 4. Values represent mean ± standard error (n = 6). Different capital letters indicate a significant difference between VPD levels (P < 0.05).; - ; - ; - ; - ;L;L;L;low vapour pressure deficit (VPD), high VPD;"Methods: ""Plants were established from seed and grown as detailed by Liu et al. (2016)""";n.a.; - ;Experimental;L
